#glass          vd      ve      b1              b2              b3              c1              c2              c3              nd      ne       dpgF
N-LAK21         60.1    59.86   1.22718116E+00  4.20783743E-01  1.01284843E+00  6.02075682E-03  1.96862889E-02  8.84370099E+01  1.64049 1.64304  -0.0017
N-LAK22         55.89   55.63   1.14229781E+00  5.35138441E-01  1.04088385E+00  5.85778594E-03  1.98546147E-02  1.00834017E+02  1.65113 1.65391  -0.0031
N-LAK33A        52.27   52.04   1.44116999E+00  5.71749501E-01  1.16605226E+00  6.80933877E-03  2.22291824E-02  8.09379555E+01  1.75393 1.75737  -0.0086
N-LAK33B        52.3    52.07   1.42288601E+00  5.93661336E-01  1.16135260E+00  6.70283452E-03  2.19416210E-02  8.07407701E+01  1.755   1.75844  -0.0085
N-LAK34         54.5    54.27   1.26661442E+00  6.65919318E-01  1.12496120E+00  5.89278062E-03  1.97509041E-02  7.88894174E+01  1.72916 1.73235  -0.0079
N-LAK7          58.52   58.26   1.23679889E+00  4.45051837E-01  1.01745888E+00  6.10105538E-03  2.01388334E-02  9.06380380E+01  1.6516  1.65425  -0.0021
N-LAK8          53.83   53.61   1.33183167E+00  5.46623206E-01  1.19084015E+00  6.20023871E-03  2.16465439E-02  8.25827736E+01  1.713   1.71616  -0.0083
N-LAK9          54.71   54.48   1.46231905E+00  3.44399589E-01  1.15508372E+00  7.24270156E-03  2.43353131E-02  8.54686868E+01  1.691   1.69401  -0.0071
N-LASF31A       40.76   40.52   1.96485075E+00  4.75231259E-01  1.48360109E+00  9.82060155E-03  3.44713438E-02  1.10739863E+02  1.883   1.88815  -0.0085
N-LASF40        37.3    37.04   1.98550331E+00  2.74057042E-01  1.28945661E+00  1.09583310E-02  4.74551603E-02  9.69085286E+01  1.83404 1.83935  -0.0024
N-LASF41        43.13   42.88   1.86348331E+00  4.13307255E-01  1.35784815E+00  9.10368219E-03  3.39247268E-02  9.33580595E+01  1.83501 1.83961  -0.0083
N-LASF43        40.61   40.36   1.93502827E+00  2.36629350E-01  1.26291344E+00  1.04001413E-02  4.47505292E-02  8.74375690E+01  1.8061  1.81081  -0.0052
N-LASF44        46.5    46.25   1.78897105E+00  3.86758670E-01  1.30506243E+00  8.72506277E-03  3.08085023E-02  9.27743824E+01  1.8042  1.80832  -0.0084
N-LASF45        34.97   34.72   1.87140198E+00  2.67777879E-01  1.73030008E+00  1.12171920E-02  5.05134972E-02  1.47106505E+02  1.80107 1.8065   0.0009
N-LASF45HT      34.97   34.72   1.87140198E+00  2.67777879E-01  1.73030008E+00  1.12171920E-02  5.05134972E-02  1.47106505E+02  1.80107 1.8065   0.0009
N-LASF46A       31.32   31.09   2.16701566E+00  3.19812761E-01  1.66004486E+00  1.23595524E-02  5.60610282E-02  1.07047718E+02  1.90366 1.91048  0.0042
N-LASF46B       31.32   31.09   2.17988922E+00  3.06495184E-01  1.56882437E+00  1.25805384E-02  5.67191367E-02  1.05316538E+02  1.90366 1.91048  0.0045
N-LASF9         32.17   31.93   2.00029547E+00  2.98926886E-01  1.80691843E+00  1.21426017E-02  5.38736236E-02  1.56530829E+02  1.85025 1.8565   0.0037
N-LASF9HT       32.17   31.93   2.00029547E+00  2.98926886E-01  1.80691843E+00  1.21426017E-02  5.38736236E-02  1.56530829E+02  1.85025 1.8565   0.0037
N-PK51          76.98   76.58   1.15610775E+00  1.53229344E-01  7.85618966E-01  5.85597402E-03  1.94072416E-02  1.40537046E+02  1.52855 1.53019  0.0258
N-PK52A         81.61   81.21   1.02960700E+00  1.88050600E-01  7.36488165E-01  5.16800155E-03  1.66658798E-02  1.38964129E+02  1.497   1.49845  0.0311
N-PSK3          63.46   63.23   8.87272110E-01  4.89592425E-01  1.04865296E+00  4.69824067E-03  1.61818463E-02  1.04374975E+02  1.55232 1.5544   -0.0005
